species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	NANOS1	Cajal-Retzius cells	NOS1|ZC2HC12A	0.002	nanos C2HC-type zinc finger 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.0337079	0.0	0.00179804
Mm Hs	TBCK	Cajal-Retzius cells	MGC16169|HSPC302	0.006	TBC1 domain containing kinase	protein-coding gene	NA	Ectoderm	Brain	NA	0.00561798	0.00161655	0.00747986
Mm Hs	RGMB	Cajal-Retzius cells	FLJ90406|DRAGON	0.009	repulsive guidance molecule BMP co-receptor b	protein-coding gene	NA	Ectoderm	Brain	NA	0.011236	0.00646621	0.0102129
Mm Hs	DACT1	Cajal-Retzius cells	DAPPER1|THYEX3|HDPR1|DAPPER|FRODO	0.004	dishevelled binding antagonist of beta catenin 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.00561798	0.00808277	0.00280495
Mm	TRP73	Cajal-Retzius cells	NA	0.008	transformation related protein 73	protein coding gene	1	Ectoderm	Brain	NA	0.814607	0.0	0.000359609
Mm Hs	MYH6	Cardiac stem and precursor cells	NA	0.003	myosin heavy chain 6	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0	0.00383468
Mm Hs	WT1	Cardiac stem and precursor cells	WIT-2|AWT1|NPHS4|GUD	0.009	Wilms tumor 1	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0232784	0.00610709
Mm Hs	TBX18	Cardiac stem and precursor cells	NA	0.004	T-box 18	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.000323311	0.00489987
Mm Hs	FUT4	Cardiac stem and precursor cells	FUC-TIV|CD15|ELFT	0.001	fucosyltransferase 4	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0	0.000781139
Hs	KITLG	Cardiac stem and precursor cells	SCF|Kitl|KL-1|FPH2|SLF|DFNA69	0.001	KIT ligand	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.00646621	0.0
Mm Hs	NKX2-5	Cardiac stem and precursor cells	CSX1|NKX2.5|NKX4-1|CSX|NKX2E	0.003	NK2 homeobox 5	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.000323311	0.00184633
Mm Hs	ISL1	Cardiac stem and precursor cells	Isl-1|ISLET1	0.03	ISL LIM homeobox 1	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.0139024	0.0342991
Mm Hs	GATA4	Cardiac stem and precursor cells	NA	0.006	GATA binding protein 4	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.00484966	0.00440278
Mm Hs	ETV2	Cardiac stem and precursor cells	ER71	0.002	ETS variant 2	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0142257	0.0
Mm Hs	KIT	Cardiac stem and precursor cells	CD117|SCFR|C-Kit|PBT	0.015	KIT proto-oncogene receptor tyrosine kinase	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.00129324	0.0186763
Mm Hs	ABCG2	Cardiac stem and precursor cells	EST157481|MXR|BCRP|ABCP|CD338	0.035	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.00484966	0.0428916
Mm Hs	MESP1	Cardiac stem and precursor cells	MGC10676|bHLHc5	0.006	mesoderm posterior bHLH transcription factor 1	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.00711284	0.00532595
Mm Hs	BMP4	Cardiac stem and precursor cells	BMP2B	0.018	bone morphogenetic protein 4	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0248949	0.0146286
Mm Hs	ADGRL2	Cardiac stem and precursor cells	KIAA0786|LEC1|LPHH1|LPHN2	0.02	adhesion G protein-coupled receptor L2	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.00420304	0.0241443
Mm Hs	TBX3	Cardiac stem and precursor cells	TBX3-ISO|XHL|UMS	0.022	T-box 3	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.0313611	0.0192444
Mm Hs	TBX4	Cardiac stem and precursor cells	NA	0.0	T-box 4	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.0	0.000426076
Mm Hs	WNT5A	Cardiac stem and precursor cells	hWNT5A	0.015	Wnt family member 5A	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.00840608	0.016972
Mm Hs	ANKRD1	Cardiac stem and precursor cells	C-193|ALRP|CVARP|MCARP	0.007	ankyrin repeat domain 1	protein-coding gene	1	Mesoderm	Heart	NA	NA	0.00808277	0.00660418
Mm Hs	TNNC1	Cardiomyocytes	TNNC	0.006	troponin C1, slow skeletal and cardiac type	protein-coding gene	1	Mesoderm	Heart	NA	0.933333	0.000969932	0.00249608
Mm Hs	ADM	Cardiomyocytes	AM	0.027	adrenomedullin	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0656321	0.0179004
Mm Hs	ALCAM 	Cardiomyocytes	CD166|MEMD	0.0	activated leukocyte cell adhesion molecule	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0	0.0
Mm Hs	NPPA	Cardiomyocytes	ANP|PND	0.0	natriuretic peptide A	protein-coding gene	1	Mesoderm	Heart	NA	0.0833333	0.0	0.0
Mm Hs	FGF2	Cardiomyocytes	FGFB	0.004	fibroblast growth factor 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0184287	0.00106975
Mm Hs	NPPB	Cardiomyocytes	NA	0.002	natriuretic peptide B	protein-coding gene	1	Mesoderm	Heart	NA	0.35	0.00193986	0.000427899
Mm Hs	TNNI3	Cardiomyocytes	TNNC1|CMH7|CMD2A	0.009	troponin I3, cardiac type	protein-coding gene	1	Mesoderm	Heart	NA	1.0	0.0109926	0.00420767
Mm Hs	TNNT2	Cardiomyocytes	CMH2|CMD1D	0.011	troponin T2, cardiac type	protein-coding gene	1	Mesoderm	Heart	NA	1.0	0.0106693	0.00484952
Mm Hs	ANKRD1	Cardiomyocytes	C-193|ALRP|CVARP|MCARP	0.007	ankyrin repeat domain 1	protein-coding gene	1	Mesoderm	Heart	NA	0.8	0.00808277	0.00320924
Mm Hs	NPPC	Cardiomyocytes	CNP	0.003	natriuretic peptide C	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.000646621	0.00328056
Mm Hs	DES	Cardiomyocytes	CMD1I|CSM1|CSM2	0.021	desmin	protein-coding gene	1	Mesoderm	Heart	NA	0.783333	0.00969932	0.019826
Mm Hs	HAND2	Cardiomyocytes	dHand|Thing2|Hed|bHLHa26	0.004	heart and neural crest derivatives expressed 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0166667	0.00969932	0.00213949
Mm Hs	HAND1	Cardiomyocytes	eHand|Thing1|Hxt|bHLHa27	0.005	heart and neural crest derivatives expressed 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0148723	0.000784482
Mm Hs	GATA4	Cardiomyocytes	NA	0.006	GATA binding protein 4	protein-coding gene	1	Mesoderm	Heart	NA	0.05	0.00484966	0.00420767
Mm Hs	GATA6	Cardiomyocytes	NA	0.018	GATA binding protein 6	protein-coding gene	1	Mesoderm	Heart	NA	0.316667	0.00484966	0.018471
Mm Hs	MYL2	Cardiomyocytes	CMH10	0.006	myosin light chain 2	protein-coding gene	1	Mesoderm	Heart	NA	0.916667	0.0	0.00335188
Mm Hs	NKX2-5	Cardiomyocytes	CSX1|NKX2.5|NKX4-1|CSX|NKX2E	0.003	NK2 homeobox 5	protein-coding gene	NA	Mesoderm	Heart	NA	0.35	0.000323311	0.000356583
Mm Hs	PNMT	Cardiomyocytes	PENT	0.0	phenylethanolamine N-methyltransferase	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.000969932	0.00021395
Mm Hs	ACTA1	Cardiomyocytes	NEM3|ACTA	0.003	actin, alpha 1, skeletal muscle	protein-coding gene	1	Mesoderm	Heart	NA	0.0333333	0.00258649	0.00313793
Mm Hs	CD36	Cardiomyocytes	SCARB3|GPIV|GP4|GP3B	0.033	CD36 molecule	protein-coding gene	1	Mesoderm	Heart	NA	0.716667	0.0355642	0.0306661
Mm Hs	RBM20	Cardiomyocytes	NA	0.002	RNA binding motif protein 20	protein-coding gene	NA	Mesoderm	Heart	NA	0.4	0.0	0.000427899
Mm Hs	VLDLR	Cardiomyocytes	CARMQ1|CHRMQ1|VLDLRCH	0.027	very low density lipoprotein receptor	protein-coding gene	1	Mesoderm	Heart	NA	0.483333	0.00387973	0.0310227
Mm Hs	ALPK3	Cardiomyocytes	MAK|KIAA1330|Midori	0.001	alpha kinase 3	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.000646621	0.000285266
Mm Hs	RBM24	Cardiomyocytes	FLJ30829|dJ259A10.1|RNPC6	0.006	RNA binding motif protein 24	protein-coding gene	1	Mesoderm	Heart	NA	0.5	0.0	0.00506347
Mm Hs	FABP4	Cardiomyocytes	A-FABP|aP2	0.024	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Heart	NA	0.466667	0.0090527	0.0265297
Mm Hs	CKMT2	Cardiomyocytes	SMTCK	0.002	creatine kinase, mitochondrial 2	protein-coding gene	1	Mesoderm	Heart	NA	0.4	0.000969932	0.000713165
Mm Hs	SPEG	Cardiomyocytes	MGC12676|KIAA1297|SPEGalpha|SPEGbeta|BPEG|APEG1	0.005	SPEG complex locus	protein-coding gene	NA	Mesoderm	Heart	NA	0.183333	0.000323311	0.00549137
Mm Hs	MYH7B	Cardiomyocytes	KIAA1512|dJ756N5.1|MYH14|MHC14	0.0	myosin heavy chain 7B	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.0	0.0
Mm Hs	MYOM2	Cardiomyocytes	NA	0.005	myomesin 2	protein-coding gene	1	Mesoderm	Heart	NA	0.483333	0.0177821	0.00021395
Mm Hs	MYOM1	Cardiomyocytes	NA	0.004	myomesin 1	protein-coding gene	NA	Mesoderm	Heart	NA	0.616667	0.000646621	0.00185423
Mm	COX8B	Cardiomyocytes	NA	0.004	cytochrome c oxidase subunit 8B	protein coding gene	NA	Mesoderm	Heart	NA	0.85	0.0	0.00114106
Mm Hs	PDLIM5	Cardiomyocytes	LIM|Enh	0.041	PDZ and LIM domain 5	protein-coding gene	1	Mesoderm	Heart	NA	0.75	0.0885871	0.0280987
Mm Hs	MYH7	Cardiomyocytes	CMD1S|CMH1|MPD1	0.002	myosin heavy chain 7	protein-coding gene	1	Mesoderm	Heart	NA	0.383333	0.000323311	0.000285266
Mm Hs	PLN	Cardiomyocytes	CMD1P	0.007	phospholamban	protein-coding gene	1	Mesoderm	Heart	NA	0.833333	0.0139024	0.00156896
Mm Hs	TCAP	Cardiomyocytes	T-cap|TELE|telethonin|CMD1N|LGMD2G	0.003	titin-cap	protein-coding gene	1	Mesoderm	Heart	NA	0.716667	0.0	0.000713165
Mm Hs	SORBS2	Cardiomyocytes	ARGBP2|KIAA0777	0.048	sorbin and SH3 domain containing 2	protein-coding gene	1	Mesoderm	Heart	NA	0.55	0.0210152	0.0545571
Mm Hs	RYR2	Cardiomyocytes	ARVC2|VTSIP|ARVD2	0.008	ryanodine receptor 2	protein-coding gene	1	Mesoderm	Heart	NA	0.65	0.0	0.0073456
Mm Hs	OBSCN	Cardiomyocytes	KIAA1556|UNC89|KIAA1639|ARHGEF30	0.002	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	protein-coding gene	NA	Mesoderm	Heart	NA	0.683333	0.000323311	7.13165e-05
Mm Hs	ACTC1	Cardiomyocytes	CMD1R|ACTC	0.012	actin, alpha, cardiac muscle 1	protein-coding gene	1	Mesoderm	Heart	NA	1.0	0.0139024	0.00492084
Mm Hs	MYL3	Cardiomyocytes	CMH8|VLC1|MLC1V|MLC1SB	0.008	myosin light chain 3	protein-coding gene	1	Mesoderm	Heart	NA	0.933333	0.0	0.00656112
Mm Hs	CORO6	Cardiomyocytes	FLJ14871	0.001	coronin 6	protein-coding gene	NA	Mesoderm	Heart	NA	0.183333	0.000323311	0.000713165
Mm Hs	PDE4D	Cardiomyocytes	DPDE3	0.022	phosphodiesterase 4D	protein-coding gene	1	Mesoderm	Heart	NA	0.15	0.0158422	0.0226786
Mm Hs	NEXN	Cardiomyocytes	nexilin|NELIN	0.015	nexilin F-actin binding protein	protein-coding gene	1	Mesoderm	Heart	NA	0.733333	0.0174588	0.0102696
Mm	MHRT	Cardiomyocytes	Myheart	0.001	myosin heavy chain associated RNA transcript	non-coding RNA	1	Mesoderm	Heart	NA	0.233333	0.0	0.000641849
Mm Hs	FHL2	Cardiomyocytes	SLIM3|DRAL	0.043	four and a half LIM domains 2	protein-coding gene	1	Mesoderm	Heart	NA	0.85	0.107016	0.0226786
Mm Hs	MYBPC3	Cardiomyocytes	MYBP-C|CMH4	0.003	myosin binding protein C, cardiac	protein-coding gene	1	Mesoderm	Heart	NA	0.833333	0.000969932	0.000142633
Mm Hs	MYH6	Cardiomyocytes	NA	0.003	myosin heavy chain 6	protein-coding gene	1	Mesoderm	Heart	NA	0.883333	0.0	7.13165e-05
Mm Hs	TTN	Cardiomyocytes	CMPD4|FLJ32040|TMD|CMH9|LGMD2J|MYLK5|CMD1G	0.008	titin	protein-coding gene	1	Mesoderm	Heart	NA	0.766667	0.0116392	0.00206818
Mm Hs	GPIHBP1	Cardiomyocytes	LOC338328|GPI-HBP1	0.011	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.00484966	0.0127657
Mm Hs	AQP1	Cardiomyocytes	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.0184287	0.0370133
Mm Hs	DMD	Cardiomyocytes	DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	0.013	dystrophin	protein-coding gene	NA	Mesoderm	Heart	NA	0.116667	0.00484966	0.0147625
Mm Hs	MFN2	Cardiomyocytes	CPRP1|KIAA0214|MARF|CMT2A2	0.017	mitofusin 2	protein-coding gene	1	Mesoderm	Heart	NA	0.416667	0.00775946	0.0175439
Mm Hs	ASB2	Cardiomyocytes	ASB-2	0.006	ankyrin repeat and SOCS box containing 2	protein-coding gene	1	Mesoderm	Heart	NA	0.366667	0.00355642	0.00527742
Mm Hs	ART3	Cardiomyocytes	NA	0.022	ADP-ribosyltransferase 3	protein-coding gene	1	Mesoderm	Heart	NA	0.25	0.0171355	0.0234631
Mm Hs	RRAD	Cardiomyocytes	REM3|RAD	0.006	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	protein-coding gene	1	Mesoderm	Heart	NA	0.333333	0.00549628	0.005634
Mm Hs	ADPRHL1	Cardiomyocytes	NA	0.002	ADP-ribosylhydrolase like 1	protein-coding gene	NA	Mesoderm	Heart	NA	0.516667	0.000646621	0.00021395
Mm Hs	JPH2	Cardiomyocytes	JP-2	0.003	junctophilin 2	protein-coding gene	1	Mesoderm	Heart	NA	0.333333	0.0	0.00185423
Mm Hs	PYGM	Cardiomyocytes	NA	0.002	glycogen phosphorylase, muscle associated	protein-coding gene	NA	Mesoderm	Heart	NA	0.333333	0.000323311	0.0017116
Mm Hs	HSPB7	Cardiomyocytes	cvHSP	0.004	heat shock protein family B (small) member 7	protein-coding gene	1	Mesoderm	Heart	NA	0.683333	0.00452635	0.00114106
Mm Hs	MYOZ2	Cardiomyocytes	FATZ-2|C4orf5	0.002	myozenin 2	protein-coding gene	1	Mesoderm	Heart	NA	0.666667	0.0	0.000142633
Mm Hs	ENO3	Cardiomyocytes	NA	0.009	enolase 3	protein-coding gene	1	Mesoderm	Heart	NA	0.766667	0.000323311	0.00542005
Mm Hs	TRDN	Cardiomyocytes	NA	0.004	triadin	protein-coding gene	1	Mesoderm	Heart	NA	0.716667	0.00872939	0.00021395
Mm Hs	ACTN2	Cardiomyocytes	NA	0.005	actinin alpha 2	protein-coding gene	1	Mesoderm	Heart	NA	0.7	0.0	0.00335188
Mm Hs	TNNI1	Cardiomyocytes	NA	0.009	troponin I1, slow skeletal type	protein-coding gene	1	Mesoderm	Heart	NA	0.566667	0.00937601	0.00420767
Mm Hs	SMPX	Cardiomyocytes	DFNX4|DFN6	0.006	small muscle protein X-linked	protein-coding gene	1	Mesoderm	Heart	NA	0.75	0.0	0.00427899
Mm Hs	MYL7	Cardiomyocytes	MYLC2A|MYL2A	0.009	myosin light chain 7	protein-coding gene	1	Mesoderm	Heart	NA	0.566667	0.0103459	0.00513479
Mm Hs	TBX20	Cardiomyocytes	NA	0.004	T-box 20	protein-coding gene	1	Mesoderm	Heart	NA	0.516667	0.0	0.00299529
Mm Hs	TRIM63	Cardiomyocytes	MURF-1|IRF|SMRZ|RNF28	0.002	tripartite motif containing 63	protein-coding gene	1	Mesoderm	Heart	NA	0.45	0.0	0.000356583
Mm Hs	MB	Cardiomyocytes	PVALB	0.001	myoglobin	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.00161655	0.0
Mm Hs	CTGF	Cardiomyocytes	IGFBP8|CCN2	0.029	connective tissue growth factor	protein-coding gene	1	Mesoderm	Heart	NA	0.05	0.102813	0.0109827
Mm Hs	MYL4	Cardiomyocytes	AMLC|GT1|PRO1957	0.016	myosin light chain 4	protein-coding gene	1	Mesoderm	Heart	NA	0.416667	0.0300679	0.00827271
Mm Hs	LOX	Cardiomyocytes	NA	0.015	lysyl oxidase	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0155189	0.0149765
Mm Hs	CTNNB1	Cardiomyocytes	beta-catenin|armadillo|CTNNB	0.056	catenin beta 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0333333	0.215002	0.0121951
Mm Hs	CPT1A	Cardiomyocytes	CPT1-L|L-CPT1	0.011	carnitine palmitoyltransferase 1A	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00969932	0.0125517
Mm Hs	SOX18	Cardiomyocytes	NA	0.011	SRY-box 18	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0203686	0.00948509
Mm Hs	NOTCH1	Cardiomyocytes	TAN1	0.007	notch 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00484966	0.00827271
Mm Hs	SLN	Cardiomyocytes	MGC12301|MGC125854|MGC125855	0.003	sarcolipin	protein-coding gene	1	Mesoderm	Heart	NA	0.333333	0.00226317	0.00242476
Mm Hs	CSRP3	Cardiomyocytes	CMD1M	0.005	cysteine and glycine rich protein 3	protein-coding gene	1	Mesoderm	Heart	NA	0.916667	0.0	0.00292398
Mm Hs	TXLNB	Cardiomyocytes	DKFZp451A175|MDP77|dJ522B19.2|C6orf198	0.001	taxilin beta	protein-coding gene	1	Mesoderm	Heart	NA	0.183333	0.0	7.13165e-05
Mm Hs	ATP2A2	Cardiomyocytes	SERCA2|ATP2B|DAR	0.146	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding gene	1	Mesoderm	Heart	NA	0.85	0.0488199	0.165597
Mm Hs	CKM	Cardiomyocytes	CKMM	0.003	creatine kinase, M-type	protein-coding gene	1	Mesoderm	Heart	NA	0.766667	0.00226317	0.000356583
Mm Hs	CKB	Cardiomyocytes	CKBB	0.483	creatine kinase B	protein-coding gene	1	Mesoderm	Heart	NA	0.05	0.23925	0.544929
Mm Hs	CXCR4	Cardiomyocytes	LESTR|NPY3R|HM89|NPYY3R|D2S201E|fusin|HSY3RR|CD184	0.041	C-X-C motif chemokine receptor 4	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.195603	0.00834403
Hs	IL11RA	Cardiomyocytes	NA	0.005	interleukin 11 receptor subunit alpha	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0203686	0.0
Mm Hs	MITF	Cardiomyocytes	MI|bHLHe32|WS2A|WS2	0.004	melanogenesis associated transcription factor	protein-coding gene	1	Mesoderm	Heart	NA	0.0333333	0.0061429	0.00313793
Mm Hs	ZFPM2	Cardiomyocytes	FOG2|hFOG-2|ZNF89B|ZC2HC11B	0.001	zinc finger protein, FOG family member 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00323311	0.0
Mm Hs	BDNF	Cardiomyocytes	NA	0.013	brain derived neurotrophic factor	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00193986	0.0160462
Mm Hs	GJA5	Cardiomyocytes	CX40	0.002	gap junction protein alpha 5	protein-coding gene	1	Mesoderm	Heart	NA	0.15	0.00161655	0.00121238
Mm Hs	FMOD	Cardiomyocytes	SLRR2E	0.008	fibromodulin	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0061429	0.00884325
Mm Hs	MTTP	Cardiomyocytes	MTP	0.01	microsomal triglyceride transfer protein	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00937601	0.00955641
Mm Hs	SLC5A1	Cardiomyocytes	D22S675|NAGT|SGLT1	0.009	solute carrier family 5 member 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00226317	0.0111967
Mm Hs	ADIPOQ	Cardiomyocytes	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC	0.001	adiponectin, C1Q and collagen domain containing	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0	0.0012837
Mm Hs	TRPV1	Cardiomyocytes	NA	0.001	transient receptor potential cation channel subfamily V member 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0	0.0012837
Mm Hs	HAMP	Cardiomyocytes	LEAP-1|HEPC|HFE2B|LEAP1	0.003	hepcidin antimicrobial peptide	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.00420304	0.00256739
Mm Hs	SGPL1	Cardiomyocytes	SPL	0.033	sphingosine-1-phosphate lyase 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0459101	0.0288832
Mm Hs	HMGB2	Cardiomyocytes	HMG2	0.267	high mobility group box 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0666667	0.324604	0.246826
Mm Hs	STC1	Cardiomyocytes	STC	0.005	stanniocalcin 1	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0184287	0.00263871
Mm Hs	FGF23	Cardiomyocytes	NA	0.0	fibroblast growth factor 23	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0	0.0
Mm Hs	STRN	Cardiomyocytes	PPP2R6A|STRN1	0.019	striatin	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.000969932	0.0243902
Mm Hs	HEY2	Cardiomyocytes	bHLHb32|HERP1|HESR2	0.004	hes related family bHLH transcription factor with YRPW motif 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0155189	0.0017116
Mm Hs	ADIPOR1	Cardiomyocytes	PAQR1|ACDCR1	0.192	adiponectin receptor 1	protein-coding gene	1	Mesoderm	Heart	NA	0.316667	0.117038	0.205463
Mm Hs	ADIPOR2	Cardiomyocytes	PAQR2|ACDCR2	0.033	adiponectin receptor 2	protein-coding gene	1	Mesoderm	Heart	NA	0.0333333	0.0219851	0.0336614
Mm Hs	PDE1A	Cardiomyocytes	NA	0.019	phosphodiesterase 1A	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0223084	0.0188989
Mm Hs	BMP4	Cardiomyocytes	BMP2B	0.018	bone morphogenetic protein 4	protein-coding gene	1	Mesoderm	Heart	NA	0.0	0.0248949	0.0146912
Mm Hs	CASQ2	Cardiomyocytes	PDIB2	0.003	calsequestrin 2	protein-coding gene	1	Mesoderm	Heart	NA	0.483333	0.000323311	0.00199686
Mm Hs	TPM1	Cardiomyocytes	C15orf13|CMH3	0.246	tropomyosin 1	protein-coding gene	1	Mesoderm	Heart	NA	1.0	0.18461	0.254671
Mm Hs	SSTR2	Cholangiocytes	NA	0.029	somatostatin receptor 2	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.0123333	0.031179
Mm Hs	SLC4A2	Cholangiocytes	HKB3|BND3L|NBND3|EPB3L1	0.006	solute carrier family 4 member 2	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.0	0.00759943
Mm Hs	SCTR	Cholangiocytes	NA	0.0	secretin receptor	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.0	0.000213068
Mm Hs	KRT7	Cholangiocytes	CK7|K2C7	0.056	keratin 7	protein-coding gene	1	Endoderm	Liver	0.430108	1.0	0.0933333	0.0455966
Mm Hs	KCNN2	Cholangiocytes	KCa2.2|hSK2	0.004	potassium calcium-activated channel subfamily N member 2	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.000333333	0.00482955
Mm Hs	ITGB4	Cholangiocytes	CD104	0.014	integrin subunit beta 4	protein-coding gene	1	Endoderm	Liver	0.0430108	0.0	0.0136667	0.0141335
Mm Hs	GGT6	Cholangiocytes	FLJ90165	0.003	gamma-glutamyltransferase 6	protein-coding gene	1	Endoderm	Liver	0.0860215	0.0	0.00533333	0.00234375
Mm Hs	CFTR	Cholangiocytes	ABC35|TNR-CFTR|CFTR/MRP|CF|ABCC7	0.004	cystic fibrosis transmembrane conductance regulator	protein-coding gene	1	Endoderm	Liver	0.172043	0.0	0.00166667	0.00319602
Mm Hs	CCKBR	Cholangiocytes	NA	0.0	cholecystokinin B receptor	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.000666667	0.000142045
Mm Hs	AQP4	Cholangiocytes	MIWC	0.026	aquaporin 4	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.00466667	0.0318182
Mm Hs	AQP1	Cholangiocytes	CHIP28|CO	0.032	aquaporin 1 (Colton blood group)	protein-coding gene	1	Endoderm	Liver	0.0322581	0.0	0.018	0.0371449
Mm Hs	PIGR	Cholangiocytes	NA	0.03	polymeric immunoglobulin receptor	protein-coding gene	1	Endoderm	Liver	0.612903	1.0	0.0273333	0.0269886
Mm Hs	GGT1	Cholangiocytes	D22S672|D22S732|CD224	0.008	gamma-glutamyltransferase 1	protein-coding gene	1	Endoderm	Liver	0.0430108	0.0	0.000666667	0.0100852
Mm Hs	JAG1	Cholangiocytes	AHD|AWS|HJ1|CD339|AGS|JAGL1	0.027	jagged 1	protein-coding gene	1	Endoderm	Liver	0.0215054	0.0	0.0246667	0.0279119
Mm Hs	GPBAR1	Cholangiocytes	BG37|TGR5|M-BAR|GPCR19|GPR131|MGC40597	0.001	G protein-coupled bile acid receptor 1	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.00366667	0.0
Mm Hs	GGT7	Cholangiocytes	D20S101|dJ18C9.2|GGTL5|GGTL3	0.007	gamma-glutamyltransferase 7	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.000333333	0.00930398
Mm Hs	KRT19	Cholangiocytes	K19|CK19|K1CS|MGC15366	0.088	keratin 19	protein-coding gene	1	Endoderm	Liver	0.913979	1.0	0.15	0.0632813
Mm Hs	ONECUT2	Cholangiocytes	OC-2	0.012	one cut homeobox 2	protein-coding gene	1	Endoderm	Liver	0.0	0.5	0.00366667	0.0137784
Mm Hs	ALPL	Cholangiocytes	TNSALP|TNALP|TNAP|HOPS	0.007	alkaline phosphatase, liver/bone/kidney	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.00433333	0.00830966
Mm Hs	HNF1B	Cholangiocytes	LFB3|VHNF1|HNF1beta|MODY5|TCF2	0.005	HNF1 homeobox B	protein-coding gene	1	Endoderm	Liver	0.0	0.0	0.01	0.00355114
Mm Hs	ALB	Cholangiocytes	NA	0.009	albumin	protein-coding gene	1	Endoderm	Liver	0.0107527	0.0	0.0293333	0.00419034
Mm Hs	AGR2	Cholangiocytes	XAG-2|HAG-2|PDIA17	0.025	anterior gradient 2, protein disulphide isomerase family member	protein-coding gene	1	Endoderm	Liver	0.741935	0.5	0.054	0.0129972
Mm	MUC3	Cholangiocytes	NA	0.008	mucin 3, intestinal	protein coding gene	1	Endoderm	Liver	0.0	0.0	0.0	0.00994318
